Joker (2019),70,"An original standalone origin story of the iconic villain not seen before on the big screen, it's a gritty character study of Arthur Fleck, a man disregarded by society, and a broader cautionary tale.","['Joaquin Phoenix', 'Zazie Beetz', 'Robert De Niro', 'Jolie Chan']"
Dolor y gloria (2019),82,A film director reflects on the choices he's made in life as past and present come crashing down around him.,"['Antonio Banderas', 'Asier Etxeandia', 'Leonardo Sbaraglia', 'Nora Navas']"
The Current War (2017),44,The dramatic story of the cutthroat race between electricity titans Thomas Edison and George Westinghouse to determine whose electrical system would power the modern world.,"['Tom Holland', 'Benedict Cumberbatch', 'Nicholas Hoult', 'Matthew Macfadyen']"
War (2019),None,"Two secret agents, a mentor & his protege on opposite ends of the spectrum, lock horns with the security of the nation on the line.","['Hrithik Roshan', 'Tiger Shroff', 'Vaani Kapoor', 'Ashutosh Rana']"
Roger Waters: Us + Them (2019),None,A look at Roger Waters' 2017-2018 concert tour.,"['Rufat Aliyev', 'Farshid Azizi', 'Nikoo Bafti', 'Azzurra Caccetta']"
Gemini Man (2019),None,An over-the-hill hitman faces off against a younger clone of himself.,"['Will Smith', 'Mary Elizabeth Winstead', 'Clive Owen', 'Douglas Hodge']"
The Addams Family (2019),None,"An animated version of Charles Addams' series of cartoons about a peculiar, ghoulish family.","['Charlize Theron', 'Finn Wolfhard', 'Chloë Grace Moretz', 'Pom Klementieff']"
Gisaengchung (2019),91,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Jo', 'Woo-sik Choi']"
Maleficent: Mistress of Evil (2019),None,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.","['David Gyasi', 'Angelina Jolie', 'Elle Fanning', 'Harris Dickinson']"
Zombieland: Double Tap (2019),None,"Columbus, Tallahasse, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.","['Emma Stone', 'Abigail Breslin', 'Bill Murray', 'Woody Harrelson']"
Jojo Rabbit (2019),52,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Taika Waititi', 'Sam Rockwell']"
The Lighthouse (2019),89,The story of two lighthouse keepers on a remote and mysterious New England island in the 1890s.,"['Willem Dafoe', 'Robert Pattinson', 'Valeriia Karaman']"
Witness for the Prosecution,None,A veteran lawyer must defend a man in what promises to be the most dramatic trial of his career.,['Ben Affleck']
Grâce à Dieu (2018),76,"The three men, friends of childhood, will cross, compare their personal experiences and question their life of couple, family and professional.","['Melvil Poupaud', 'Denis Ménochet', 'Swann Arlaud', 'Éric Caravaca']"
Greener Grass (2019),None,Suburban soccer moms find themselves constantly competing against each other in their personal lives as their kids settle their differences on the field.,"[""D'Arcy Carden"", 'Dot-Marie Jones', 'Jim Cummings', 'Mary Holland']"
Black and Blue (2019),None,"'Black and Blue' is an action thriller about a rookie cop (Naomie Harris) who inadvertently captures the murder of a young drug dealer on her body cam. After realizing that the murder was committed by corrupt cops, she teams up with the one person from her community who is willing to help her (Tyrese Gibson) as she tries to escape both the criminals out for revenge and the police who are desperate to destroy the incriminating footage.","['Naomie Harris', 'Frank Grillo', 'Reid Scott', 'Mike Colter']"
Countdown (2019),None,"psychological thriller drama You, will play a young nurse who downloads an app that claims to predict exactly when a person is going to die. It tells her she only has three days to live, and she also feels a mysterious figure haunting her.","['Anne Winters', 'Elizabeth Lail', 'Peter Facinelli', 'Charlie McDermott']"
The Last Full Measure (2019),None,"Thirty-four years after his death, Airman William H. Pitsenbarger, Jr. (""Pits"") is awarded the nation's highest military honor, for his actions on the battlefield.","['Bradley Whitford', 'Samuel L. Jackson', 'Sebastian Stan', 'Alison Sudol']"
The Aeronauts (2019),73,Pilot Amelia Wren (Felicity Jones) and scientist James Glaisher (Eddie Redmayne) find themselves in an epic fight for survival while attempting to make discoveries in a hot air balloon.,"['Felicity Jones', 'Eddie Redmayne', 'Himesh Patel', 'Anne Reid']"
Frankie (2019),56,"Three generations grappling with a life-changing experience during one day of a vacation in Sintra, Portugal, a historic town known for its dense gardens and fairy-tale villas and palaces.","['Isabelle Huppert', 'Sennia Nanua', 'Ariyon Bakare', 'Vinette Robinson']"
